srl,field_name,name,block,item,length,byte_start,byte_end,remarks
1,panel,Panel,,,2,1,2,"P2,P3"
2,file_id,File Identification,,,5,3,7,CFVP1
3,sch,Schdule,1,2,3,8,10,104
4,qtr,Quarter,,,2,11,12,"Q7,Q8,Q1,Q2"
5,visit,Visit,,,2,13,14,
6,sec,Sector,1,3,1,15,15,
7,st,State/Ut Code,,,2,16,17,
8,dc,District Code,1,4,2,18,19,
9,nss_reg,NSS-Region,1,4,3,20,22,
10,strm,Stratum,1,5,2,23,24,
11,sstrm,Sub-Stratum,1,6,2,25,26,
12,ss,Sub-Sample,1,11,1,27,27,
13,sro,Fod Sub-Region,1,12,4,28,31,
14,mfsu,FSU,1,1,5,32,36,
15,seg,Sample Hg/Sb No.,1,13,1,37,37,
16,sss,Second Stage Stratum No.,1,14,1,38,38,
17,ssu,Sample Household Number,1,15,2,39,40,
18,srl_no,Person Serial No.,4,1,2,41,42,
19,sex,Sex,4,5,1,43,43,
20,age,Age,4,6,3,44,46,
21,gedu_lvl,General Educaion Level,4,8,2,47,48,
22,aps_cws,Current Weekly Status (CWS),6,5,2,49,50,
23,aind_cws,Industry Code (CWS),6,6,2,51,52,
24,ocu_cws,Occupation Code (CWS),6,7,3,53,55,
25,nss,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,56,58,NSS
26,nsc,Ns count for sector x stratum x substratum,Generated,,3,59,61,NSC
27,mult,Sub-sample wise Multiplier,Generated,,10,62,71,MULT
